start,duration,confidence,loudness_start,loudness_max_time,loudness_max,pitches,timbre
16.45102,0.14540,0.208,-30.861,0.01346,-26.411,[0.017 0.033 0.017 0.010 0.078 0.017 0.052 0.031 0.100 1.000 0.105 0.019],[30.975 -22.724 19.009 -2.576 46.561 -56.190 -29.776 4.274 10.280 -10.588 1.935 1.378]}
16.59642,0.31265,1.000,-32.698,0.01655,-12.095,[0.031 1.000 0.029 0.011 0.011 0.017 0.022 0.009 0.031 0.078 0.010 0.012],[41.326 0.675 10.425 80.721 82.010 -50.533 -45.927 9.522 19.821 -18.002 -5.609 -2.044]}
16.90907,0.15120,0.218,-29.544,0.01492,-25.076,[0.052 1.000 0.061 0.017 0.033 0.022 0.017 0.011 0.061 0.590 0.082 0.015],[31.489 -7.162 33.828 28.467 49.878 -48.398 -29.907 -2.805 12.075 1.652 -2.625 17.954]}
17.06027,0.30821,1.000,-33.531,0.01386,-14.661,[0.005 0.040 0.009 0.008 0.010 0.047 1.000 0.023 0.009 0.034 0.009 0.004],[39.317 -31.676 -53.261 53.467 44.443 -52.142 -74.196 11.064 4.967 -23.965 -22.920 -3.094]}
17.36848,0.15152,0.187,-32.818,0.01234,-27.178,[0.006 0.185 0.016 0.005 0.008 0.098 1.000 0.093 0.012 0.026 0.017 0.003],[29.129 -34.898 -25.820 -5.267 31.304 -64.257 -55.245 -5.214 3.875 -0.892 4.632 8.755]}
17.52000,0.30694,1.000,-35.512,0.01212,-10.965,[0.017 0.075 0.012 0.008 0.023 0.023 0.177 0.019 0.024 1.000 0.018 0.011],[42.197 32.511 61.667 99.858 107.251 -67.203 -28.441 10.311 -3.989 -28.044 -11.901 14.470]}
17.82694,0.15075,0.244,-28.313,0.01286,-23.421,[0.009 0.087 0.012 0.008 0.028 0.062 0.884 0.107 0.031 1.000 0.046 0.009],[33.754 23.475 82.063 34.742 61.155 -49.409 -11.928 5.734 -7.441 -29.760 0.555 8.219]}
17.97769,0.45342,1.000,-30.855,0.01365,-14.049,[0.008 0.035 0.008 0.008 0.049 0.012 0.058 0.019 0.041 1.000 0.030 0.011],[39.300 -22.107 -24.856 74.812 62.430 -53.744 -66.197 9.089 11.962 -21.660 -12.674 -6.664]}
18.43111,0.45769,1.000,-33.931,0.01708,-13.374,[0.048 1.000 0.038 0.015 0.013 0.022 0.046 0.018 0.056 0.160 0.027 0.021],[39.911 -3.587 9.375 88.343 78.227 -45.330 -42.046 8.392 18.791 -16.117 -4.305 4.297]}
18.88880,0.30939,1.000,-31.811,0.01372,-14.399,[0.005 0.047 0.005 0.005 0.009 0.044 1.000 0.027 0.006 0.034 0.009 0.004],[39.757 -41.112 -50.699 47.616 49.443 -56.382 -62.894 2.042 11.084 -27.379 -19.405 -1.738]}
19.19819,0.14308,0.022,-29.739,0.01535,-26.871,[0.014 0.208 0.020 0.005 0.010 0.065 1.000 0.062 0.014 0.075 0.023 0.006],[30.248 -56.742 10.196 -3.096 57.906 -58.050 -63.792 -7.696 -4.359 -28.728 11.292 -5.379]}
19.34127,0.30884,1.000,-33.214,0.01553,-11.422,[0.013 0.060 0.012 0.007 0.022 0.011 0.085 0.011 0.024 1.000 0.018 0.008],[41.913 45.488 69.249 110.662 118.075 -56.299 -29.987 18.740 -2.129 -21.157 -6.363 19.200]}
19.65011,0.14476,0.399,-28.453,0.01147,-23.970,[0.008 0.092 0.019 0.008 0.036 0.065 0.903 0.109 0.033 1.000 0.055 0.013],[33.259 14.193 74.981 36.972 70.120 -50.038 -20.343 13.036 -4.173 -41.314 -2.764 5.920]}
19.79488,0.30821,1.000,-31.407,0.01402,-14.179,[0.006 0.017 0.008 0.007 0.041 0.021 0.042 0.014 0.037 1.000 0.027 0.007],[40.009 -28.899 -37.833 48.248 59.056 -48.682 -61.688 1.909 19.564 -23.714 -10.686 -7.964]}
20.10308,0.14426,0.061,-29.794,0.01366,-26.611,[0.011 0.031 0.012 0.006 0.047 0.015 0.060 0.022 0.090 1.000 0.150 0.014],[30.602 -14.941 18.835 12.036 28.354 -50.343 -42.128 29.231 9.225 -13.739 5.775 -5.573]}
20.24735,0.28435,1.000,-34.260,0.01558,-12.844,[0.034 1.000 0.028 0.008 0.007 0.015 0.017 0.007 0.027 0.077 0.008 0.009],[41.294 -3.073 7.363 66.928 84.725 -56.950 -47.205 4.643 21.454 -20.793 -10.536 -2.094]}
20.53170,0.16884,0.305,-28.597,0.03478,-24.464,[0.040 1.000 0.048 0.017 0.023 0.019 0.020 0.013 0.059 0.450 0.057 0.021],[32.355 -10.109 46.801 22.530 55.214 -25.882 -35.661 15.444 13.809 0.234 2.716 10.385]}
20.70054,0.30136,1.000,-31.727,0.00822,-13.457,[0.005 0.053 0.005 0.003 0.007 0.042 1.000 0.024 0.007 0.020 0.008 0.003],[40.053 -29.293 -47.209 55.373 38.041 -58.562 -73.272 6.897 3.380 -25.327 -30.517 -2.203]}
21.00190,0.13451,0.139,-32.138,0.01325,-27.065,[0.015 0.234 0.025 0.006 0.012 0.144 1.000 0.125 0.012 0.052 0.025 0.005],[29.453 -26.225 -24.603 -3.998 19.338 -63.324 -46.828 6.170 -10.608 -11.314 3.303 -4.501]}
21.13642,0.45837,1.000,-33.597,0.02526,-12.258,[0.029 0.104 0.015 0.013 0.037 0.043 0.237 0.060 0.054 1.000 0.039 0.019],[40.008 24.927 47.729 101.730 101.174 13.020 -11.091 15.768 -2.999 -12.361 40.385 0.673]}
21.59478,0.44540,1.000,-28.830,0.01395,-14.349,[0.010 0.036 0.008 0.007 0.055 0.013 0.068 0.017 0.046 1.000 0.036 0.012],[39.365 -25.888 -26.784 64.939 59.407 -49.193 -62.435 -3.497 14.499 -17.420 -9.569 -4.200]}
22.04018,0.30322,1.000,-32.309,0.01576,-12.202,[0.030 1.000 0.030 0.007 0.007 0.017 0.025 0.009 0.030 0.061 0.010 0.013],[41.230 3.919 -0.333 84.680 78.713 -53.656 -56.842 23.035 27.668 -15.909 -22.275 -1.564]}
22.34340,0.14417,0.351,-32.711,0.02718,-26.853,[0.033 1.000 0.060 0.005 0.016 0.011 0.028 0.012 0.043 0.431 0.047 0.010],[30.630 -26.113 16.332 14.835 75.989 -51.564 -32.249 -7.782 16.789 -12.141 2.903 9.591]}
22.48757,0.44440,1.000,-33.630,0.01248,-15.350,[0.013 0.060 0.010 0.009 0.018 0.054 1.000 0.034 0.015 0.067 0.014 0.006],[38.217 -29.846 -52.331 64.751 45.259 -54.514 -67.248 8.682 11.295 -27.410 -24.455 -4.131]}
22.93197,0.25850,1.000,-35.158,0.01514,-11.969,[0.011 0.065 0.011 0.007 0.021 0.014 0.115 0.020 0.020 1.000 0.018 0.010],[42.237 42.327 64.510 95.165 119.378 -47.374 -30.277 15.409 1.667 -15.985 -4.917 21.829]}
23.19048,0.18635,0.248,-28.134,0.05463,-24.228,[0.036 0.093 0.023 0.030 0.069 0.101 0.672 0.117 0.094 1.000 0.056 0.021],[32.983 33.089 95.926 23.713 66.738 -22.754 -15.278 17.498 -25.639 -4.342 -13.689 0.607]}
23.37683,0.43528,1.000,-31.686,0.02131,-14.608,[0.011 0.036 0.011 0.010 0.054 0.012 0.082 0.021 0.054 1.000 0.037 0.016],[39.059 -22.402 -36.489 73.354 61.674 -53.419 -72.025 11.195 15.530 -26.559 -11.746 -8.504]}
